,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
412,Karnataka,3,15,3,1,0.1146126240491867,0.12379331716253901,0.6404499078388218
413,Karnataka,3,15,3,2,0.19222475588321686,0.20305198494211757,0.032659287670065984
414,Karnataka,3,15,3,3,0.1663403958082199,0.1745323638573111,0.28531131372091756
415,Karnataka,3,15,3,4,0.11900389939546585,0.12562519426947608,0.629730052720504
416,Karnataka,3,15,4,1,0.17389480769634247,0.1839431319610778,0.20616157604576335
417,Karnataka,3,15,4,2,0.1305626779794693,0.13810546472544308,0.5525065549581758
418,Karnataka,3,15,4,3,0.17050699889659882,0.18012515961893436,0.2387738408119574
419,Karnataka,3,15,4,4,0.16407588124275208,0.1740294908183599,0.28942379645690575
420,Karnataka,3,30,2,1,0.0430678091943264,0.04872175551589399,0.8767311723130817
421,Karnataka,3,30,2,2,0.03563989698886871,0.04511485424036011,0.8943069281078221
422,Karnataka,3,30,2,3,0.07111632078886032,0.08648151281836135,0.6116225948817218
423,Karnataka,3,30,2,4,0.07147607207298279,0.09647127769162722,0.5167148387972541
424,Karnataka,3,30,3,1,0.12533530592918396,0.12840860572013202,0.14375971457017234
425,Karnataka,3,30,3,2,0.03289765119552612,0.0374264659235671,0.9272613823337738
426,Karnataka,3,30,3,3,0.0717945247888565,0.08946593288699235,0.5843547987768469
427,Karnataka,3,30,3,4,0.042288072407245636,0.053256315122278484,0.852718017956049
428,Karnataka,3,30,4,1,0.0723998099565506,0.07679429437021064,0.6937576171757305
429,Karnataka,3,30,4,2,0.0522523857653141,0.058271875036536976,0.8236703287527101
430,Karnataka,3,30,4,3,0.061116885393857956,0.0776280722211707,0.6870715980770282
431,Karnataka,3,30,4,4,0.04209033027291298,0.051841717313716854,0.8604383362554944
432,Karnataka,4,5,2,1,0.12096952646970749,0.15074291087716174,0.5849762853997332
433,Karnataka,4,5,2,2,0.15993298590183258,0.17451586384858947,0.44375143742877976
434,Karnataka,4,5,2,3,0.13215512037277222,0.15290305586596598,0.5729965517108537
435,Karnataka,4,5,2,4,0.11530175060033798,0.12838765065672084,0.6989452207134149
436,Karnataka,4,5,3,1,0.18031813204288483,0.20060791667803635,0.2649867388035112
437,Karnataka,4,5,3,2,0.18694086372852325,0.2108409625364289,0.1880877867653482
438,Karnataka,4,5,3,3,0.19800123572349548,0.21582595679726024,0.14924124301712793
439,Karnataka,4,5,3,4,0.1718004047870636,0.18845493805322103,0.3513444592072992
440,Karnataka,4,5,4,1,0.2868790328502655,0.30994264131617616,-0.7545337444831965
441,Karnataka,4,5,4,2,0.20140475034713745,0.21799307383243738,0.13207044266507817
442,Karnataka,4,5,4,3,0.23170655965805054,0.2554361760082052,-0.19169158537534803
443,Karnataka,4,5,4,4,0.21039073169231415,0.22742014548490277,0.05538031685719258
444,Karnataka,4,7,2,1,0.1817263811826706,0.19678459438094814,0.2649289680092164
445,Karnataka,4,7,2,2,0.25790470838546753,0.2813830061171348,-0.5029442102419786
446,Karnataka,4,7,2,3,0.19403192400932312,0.21173804747694636,0.14896992472773152
447,Karnataka,4,7,2,4,0.18002508580684662,0.19397997243911413,0.2857325254537906
